Easy Dump Cherry Crisp,"If you can open a can, you can make this easy dump cherry crisp! Cherry pie filling is topped with a delightfully crunchy oat-nut mixture. As a variation, try adding a teaspoon of cinnamon to the topping.",4,1 hr,false
Maple Butter,"This sweet and creamy butter is great on sweet potatoes, waffles, and French toast.   This butter is the only way I can get my husband to eat sweet potatoes!",4,15 mins,false
Cherry Blast,"An accidental discovery of cherry and pineapple combination. On even hotter days, try freezing in popsicle molds for cold, fruity treats.",4,5 mins,false
Apple Almond Pie,This is the sweet lover's apple pie. Surprising ingredients make this apple pie stand out from the rest!,4,1 hr 15 mins,false
